Ticker,date,Open,High,Low,Close,Volume,Adj.Close,Dollar.chg,Pct.chg,Volatility,RISE
EW,3/20/2017,94.239998,94.440002,93.709999,94.080002,1439700,94.080002,-0.159996,-0.00169775,0.007759385,0
EW,3/21/2017,94.150002,94.93,92.660004,92.860001,1673300,92.860001,-1.290001,-0.01370155,0.024445358,0
EW,3/22/2017,92.910004,93.57,92.349998,93.470001,1371800,93.470001,0.559997,0.006027306,0.013052338,1
EW,3/23/2017,93.470001,95.32,93.220001,94.300003,1666500,94.300003,0.830002,0.008879876,0.022269342,1
EW,3/24/2017,94.290001,96.029999,94.260002,95.589996,1936900,95.589996,1.299995,0.013787199,0.018516551,1
FL,3/15/2017,75.75,76.449997,75.129997,76.239998,1148100,76.239998,0.489998,0.00646862,0.017313747,1
FL,3/16/2017,76.099998,76.459999,75.559998,75.800003,961100,75.800003,-0.299995,-0.003942116,0.011873364,0
FL,3/17/2017,76.110001,76.199997,74.75,75.669998,2230600,75.669998,-0.440003,-0.005781146,0.019162112,0
FL,3/20/2017,75.839996,75.910004,73.739998,73.980003,2550300,73.980003,-1.859993,-0.024525225,0.029332332,0
FL,3/21/2017,74.339996,74.470001,72.400002,73.449997,1854300,73.449997,-0.889999,-0.011972008,0.028182425,0
FL,3/22/2017,72.349998,72.919998,71.650002,72.830002,2224800,72.830002,0.480004,0.006634472,0.017437814,1
FL,3/23/2017,73.029999,73.339996,72.43,72.860001,1030500,72.860001,-0.169998,-0.002327783,0.012489651,0
FL,3/24/2017,72.480003,73.110001,72.150002,72.589996,1187200,72.589996,0.109993,0.001517563,0.013224949,1
PRGO,3/15/2017,69.120003,70.629997,68.900002,70.599998,1499300,70.599998,1.479995,0.021411964,0.024504179,1
PRGO,3/16/2017,71,71.160004,70.199997,70.870003,1189800,70.870003,-0.129997,-0.001830944,0.013546027,0
PRGO,3/17/2017,70.709999,70.970001,69.32,69.5,2873400,69.5,-1.209999,-0.017112134,0.023741022,0
PRGO,3/20/2017,69.519997,69.800003,68.050003,68.419998,2218400,68.419998,-1.099999,-0.015822771,0.025577317,0
PRGO,3/21/2017,68.169998,68.519997,67.080002,68.139999,1826400,68.139999,-0.029999,-0.000440062,0.021132888,0
PRGO,3/22/2017,68.059998,68.75,67.360001,68.43,1154000,68.43,0.370002,0.005436409,0.020312714,1
PRGO,3/23/2017,68.080002,69.050003,67.910004,68.160004,875300,68.160004,0.080002,0.001175117,0.016725336,1
PRGO,3/24/2017,68.260002,68.589996,67.800003,67.959999,1118400,67.959999,-0.300003,-0.004395004,0.011624382,0
IRM,3/15/2017,33.880001,34.669998,33.880001,34.490002,1107600,34.490002,0.610001,0.018004752,0.022905102,1
IRM,3/16/2017,34.5,34.700001,34.290001,34.57,1536000,34.57,0.07,0.002028986,0.011859994,1
IRM,3/17/2017,34.700001,35.099998,34.57,35.060001,2214600,35.060001,0.36,0.010374639,0.015116885,1
IRM,3/20/2017,35.029999,35.18,34.77,34.869999,1043800,34.869999,-0.16,-0.004567514,0.011757958,0
IRM,3/21/2017,35.049999,35.240002,34.529999,34.549999,1245800,34.549999,-0.5,-0.014265336,0.020550015,0
IRM,3/22/2017,34.639999,35.25,34.439999,35.02,1673900,35.02,0.380001,0.010970006,0.023129669,1
IRM,3/23/2017,34.950001,35.490002,34.799999,35.060001,1352800,35.060001,0.11,0.003147353,0.019680633,1
IRM,3/24/2017,35.080002,35.400002,34.689999,34.73,1324600,34.73,-0.350002,-0.009977251,0.020443507,0
TROW,3/15/2017,71.389999,71.980003,71.269997,71.75,1696800,71.75,0.360001,0.005042737,0.009895554,1
TROW,3/16/2017,71.959999,72.419998,71.809998,71.940002,1557800,71.940002,-0.019997,-0.00027789,0.008479288,0
TROW,3/17/2017,71.309998,71.5,69.330002,69.360001,4421200,69.360001,-1.949997,-0.027345352,0.031286015,0
TROW,3/20/2017,69.360001,69.599998,68.809998,69.260002,1458400,69.260002,-0.099999,-0.001441739,0.011406295,0
TROW,3/21/2017,69.730003,69.760002,68.010002,68.599998,2082300,68.599998,-1.130005,-0.016205435,0.025510205,0
TROW,3/22/2017,68.400002,68.910004,67.870003,68.790001,1748200,68.790001,0.389999,0.00570174,0.015118491,1
TROW,3/23/2017,68.709999,69.290001,68.139999,68.199997,1724900,68.199997,-0.510002,-0.00742253,0.0168622,0
TROW,3/24/2017,68.419998,68.559998,67.589996,67.830002,1351200,67.830002,-0.589996,-0.008623151,0.014300486,0
FITB,3/15/2017,27.08,27.08,26.290001,26.450001,4709900,26.450001,-0.629999,-0.023264365,0.029867636,0
FITB,3/16/2017,26.58,26.799999,26.43,26.65,5395100,26.65,0.07,0.002633559,0.01388364,1
FITB,3/17/2017,26.66,26.77,26.219999,26.35,11693400,26.35,-0.31,-0.011627907,0.020872903,0
FITB,3/20/2017,26.33,26.559999,26.129999,26.190001,6408700,26.190001,-0.139999,-0.005317091,0.01641848,0
FITB,3/21/2017,26.370001,26.370001,24.780001,24.91,9951700,24.91,-1.460001,-0.055365982,0.063829787,0
FITB,3/22/2017,24.860001,25.139999,24.299999,24.84,7863000,24.84,-0.020001,-0.000804545,0.033816425,0
FITB,3/23/2017,24.76,25.389999,24.66,25.059999,5752000,25.059999,0.299999,0.012116276,0.029130049,1
FITB,3/24/2017,25.09,25.190001,24.67,24.889999,5955200,24.889999,-0.200001,-0.007971343,0.020891965,0
SYMC,3/15/2017,30.790001,30.809999,30.43,30.719999,5699200,30.719999,-0.070002,-0.00227353,0.01236976,0
SYMC,3/16/2017,30.76,30.93,30.58,30.73,4502000,30.73,-0.03,-0.000975293,0.011389522,0
SYMC,3/17/2017,30.809999,30.98,30.629999,30.700001,7361400,30.700001,-0.109998,-0.003570205,0.011400684,0
SYMC,3/20/2017,30.719999,31.02,30.639999,30.780001,4103000,30.780001,0.060002,0.00195319,0.012345711,1
SYMC,3/21/2017,30.91,30.950001,29.950001,30,6191200,30,-0.91,-0.029440311,0.033333333,0
SYMC,3/22/2017,30.18,30.77,30.15,30.66,4892200,30.66,0.48,0.015904573,0.020221787,1
SYMC,3/23/2017,30.629999,30.9,30.629999,30.700001,3425700,30.700001,0.070002,0.002285407,0.008794821,1
SYMC,3/24/2017,30.74,30.950001,30.379999,30.469999,4604000,30.469999,-0.270001,-0.008783377,0.018706991,0
DISCA,3/15/2017,27.459999,28.1,27.309999,28,2610700,28,0.540001,0.019665004,0.028214321,1
DISCA,3/16/2017,27.98,28.35,27.42,28.15,2918200,28.15,0.17,0.006075768,0.0330373,1
DISCA,3/17/2017,28.25,28.25,27.83,28.01,2310800,28.01,-0.24,-0.008495575,0.014994645,0
DISCA,3/20/2017,27.99,28.040001,27.73,27.73,2207600,27.73,-0.26,-0.009289032,0.011179264,0
DISCA,3/21/2017,27.9,28,27.370001,27.440001,1459000,27.440001,-0.459999,-0.016487419,0.022959146,0
DISCA,3/22/2017,27.48,27.67,27.15,27.540001,1616300,27.540001,0.060001,0.002183443,0.018881626,1
DISCA,3/23/2017,27.5,27.799999,27.35,27.67,1361700,27.67,0.17,0.006181818,0.016263065,1
DISCA,3/24/2017,27.73,27.73,27.43,27.540001,2466500,27.540001,-0.189999,-0.006851749,0.010893246,0
FISV,3/15/2017,118.059998,118.059998,116.800003,117.650002,869200,117.650002,-0.409996,-0.003472777,0.01070969,0
FISV,3/16/2017,117.760002,117.93,116.709999,117.260002,713200,117.260002,-0.5,-0.004245924,0.010404238,0
FISV,3/17/2017,117.779999,118.209999,117.169998,117.790001,1680300,117.790001,0.010002,8.49E-05,0.008829281,1
