"Ticker","date","Open","High","Low","Close","Volume","Adj.Close","Dollar.chg","Pct.chg","Volatility","RISE","favoriteCount","retweetCount","Score","Positive","Negative","Tweet_Total_Count"
"AES","2017-03-21",11.19,11.38,11.12,11.3,5856600,11.3,0.110000000000001,0.00983020554066141,0.0230088495575223,1,0,0,0,2,2,2
"AES","2017-03-23",11.13,11.34,11.12,11.18,3383000,11.18,0.0499999999999989,0.00449236298292892,0.0196779964221825,1,1,0,1,1,0,10
"AES","2017-03-27",11.26,11.26,11.07,11.13,3301500,11.13,-0.129999999999999,-0.0115452930728241,0.0170709793351302,0,0,0,-4,0,4,12
"AET","2017-03-20",131.740005,132.149994,130.220001,130.350006,1648300,130.350006,-1.38999899999999,-0.0105510774802232,0.0148062363725553,0,3,906,-2,1,3,6
"AET","2017-03-21",130.610001,131.25,128.649994,129.089996,2819700,129.089996,-1.520005,-0.0116377382157741,0.0201410340116519,0,20,11,-2,2,4,19
"AET","2017-03-22",129.350006,129.350006,128.119995,128.330002,1951600,128.330002,-1.020004,-0.00788561231299827,0.00958475010387687,0,29,40,3,4,1,30
"AET","2017-03-23",128.169998,129.369995,127.379997,127.830002,2392600,127.830002,-0.339995999999999,-0.00265269567999837,0.0155675347638654,0,49,63,-6,5,11,40
"AET","2017-03-27",125.519997,126.529999,124.839996,126.260002,2731800,126.260002,0.740004999999996,0.00589551479992464,0.0133851019581007,1,19,14,7,15,8,31
"AFL","2017-03-20",72.339996,72.540001,72.010002,72.239998,1100600,72.239998,-0.0999979999999994,-0.00138233350192609,0.00733664195284174,0,0,3,2,3,1,7
"AFL","2017-03-21",72.440002,72.599998,71.290001,71.410004,2316500,71.410004,-1.02999800000001,-0.0142186357200819,0.0183447266016117,0,0,1,3,3,0,7
"AFL","2017-03-22",71.190002,71.779999,70.639999,71.639999,1599000,71.639999,0.449996999999996,0.00632107019746953,0.0159128980445687,1,0,2,3,3,0,8
"AFL","2017-03-23",71.589996,72.550003,71.400002,72,1551600,72,0.410004000000001,0.00572711304523611,0.0159722361111112,1,1,2,6,6,0,12
"AFL","2017-03-27",71.199997,72,71.07,71.839996,2732600,71.839996,0.639999000000003,0.00898875037873953,0.0129454350192337,1,1,1,0,0,0,3
"AGN","2017-03-20",237.979996,238,236.380005,236.949997,3553700,236.949997,-1.029999,-0.00432809066859554,0.00683686440392733,0,14,74,11,22,11,81
"AGN","2017-03-21",237.050003,238.470001,234.309998,234.550003,3842400,234.550003,-2.5,-0.0105462981158452,0.0177361029494423,0,33,53,-5,21,26,71
"AGN","2017-03-22",234.210007,236.410004,233.350006,233.990005,2226200,233.990005,-0.220001999999994,-0.000939336464816355,0.0130774731168538,0,16,12,0,15,15,47
"AGN","2017-03-23",234.130005,237.199997,233,235.289993,2368100,235.289993,1.159988,0.00495446109096525,0.0178503001612992,1,16,21,1,14,13,45
"AGN","2017-03-27",235.339996,240.470001,235.149994,239.380005,2514100,239.380005,4.040009,0.0171666910370815,0.0222241076484229,1,153,148,77,114,37,218
"AIG","2017-03-20",62.209999,62.84,61.880001,62.369999,4596600,62.369999,0.159999999999997,0.00257193381404807,0.0153919996054514,1,36,52,0,6,6,49
"AIG","2017-03-21",62.68,62.68,61.560001,61.759998,7307300,61.759998,-0.920001999999997,-0.0146777600510529,0.0181346994214605,0,11,30,3,10,7,21
"AIG","2017-03-22",61.580002,61.830002,61.099998,61.240002,7417700,61.240002,-0.340000000000003,-0.0055212729613098,0.0119203784480608,0,11,2,-1,4,5,13
"AIG","2017-03-23",61.310001,61.900002,61.200001,61.34,6894600,61.34,0.0299990000000037,0.000489300269298702,0.0114118193674601,1,3,4,4,8,4,18
"AIG","2017-03-27",60.139999,61.119999,59.889999,60.93,6639300,60.93,0.790000999999997,0.013136032809046,0.0201870999507631,1,5,21,1,4,3,29
"AIV","2017-03-20",44.189999,44.439999,43.990002,44.09,1079600,44.09,-0.0999989999999968,-0.00226293284143312,0.0102063279655251,0,0,0,1,1,0,2
"AIV","2017-03-21",44.27,44.610001,44.119999,44.459999,1695300,44.459999,0.189999,0.00429182290490174,0.0110211878322354,1,0,0,0,0,0,1
"AIV","2017-03-22",44.77,44.77,44.139999,44.509998,695000,44.509998,-0.260002,-0.00580750502568685,0.014154145771923,0,0,0,0,0,0,1
"AIV","2017-03-23",44.459999,44.970001,44.220001,44.709999,710400,44.709999,0.25,0.00562303206529537,0.0167747711199904,1,0,0,0,0,0,1
"AIZ","2017-03-20",98.610001,98.610001,97.410004,97.650002,357800,97.650002,-0.959998999999996,-0.00973531072167818,0.0122887555086788,0,0,2,1,1,0,3
"AIZ","2017-03-21",98.230003,98.230003,95.370003,95.449997,566400,95.449997,-2.780006,-0.0283009866140389,0.029963332528968,0,0,0,0,0,0,3
"AIZ","2017-03-22",95.470001,95.970001,94.779999,95.580002,355600,95.580002,0.110000999999997,0.00115220486904569,0.0124503240751135,1,3,0,0,0,0,3
"AIZ","2017-03-23",95.309998,96.489998,95.110001,95.339996,482200,95.339996,0.0299980000000062,0.000314741376870097,0.0144744814128165,1,0,0,0,0,0,2
"AIZ","2017-03-27",93.860001,94.949997,93.360001,94.559998,539000,94.559998,0.699996999999996,0.00745788400321875,0.0168146788666387,1,0,0,1,1,0,4
"AJG","2017-03-20",56.950001,57.27,56.66,56.880001,831000,56.880001,-0.0700000000000003,-0.00122914835418528,0.0107243317383206,0,0,0,0,0,0,9
"AJG","2017-03-21",57.169998,57.169998,55.970001,56.009998,994000,56.009998,-1.16,-0.0202903627878384,0.0214246927843132,0,11,24,0,1,1,10
"AJG","2017-03-22",55.950001,56.43,55.84,56.119999,1012800,56.119999,0.169998,0.00303839136660605,0.0105131862172698,1,0,0,0,1,1,6
"AJG","2017-03-23",56.200001,56.799999,55.919998,56.279999,764300,56.279999,0.0799979999999962,0.00142345193196698,0.0156361232344727,1,0,0,1,1,0,13
"AJG","2017-03-27",55.869999,56.650002,55.540001,56.540001,628400,56.540001,0.670001999999997,0.0119921605869368,0.0196321361932768,1,1,0,0,1,1,2
"AKAM","2017-03-20",64.959999,65.040001,64.330002,64.860001,900900,64.860001,-0.0999979999999994,-0.00153937810251505,0.0109466387458121,0,1,0,3,3,0,3
"AKAM","2017-03-21",65.410004,65.650002,62.919998,62.950001,2286600,62.950001,-2.460003,-0.0376089718630808,0.0433678150378425,0,15,12,10,12,2,29
"AKAM","2017-03-22",63.139999,63.759998,62.93,63.68,921100,63.68,0.540000999999997,0.00855243915984219,0.0130338881909548,1,6,6,0,0,0,8
"AKAM","2017-03-23",63.689999,64.419998,63.400002,63.66,980700,63.66,-0.0299990000000037,-0.000471015865457992,0.0160225573358468,0,0,0,1,1,0,3
"AKAM","2017-03-27",62.880001,63.439999,62.509998,63.09,1836700,63.09,0.209999000000003,0.00333967870006878,0.0147408622602631,1,10,7,-5,4,9,18
"ALB","2017-03-20",106.040001,106.190002,105.120003,106.07,1032400,106.07,0.0299989999999895,0.000282902675566643,0.0100876685207883,1,15,28,1,4,3,33
"ALB","2017-03-21",106.07,107.559998,104.07,104.25,1249500,104.25,-1.81999999999999,-0.0171584802488922,0.0334771990407674,0,9,17,6,7,1,29
"ALB","2017-03-22",104.599998,105.470001,103.300003,105.220001,984800,105.220001,0.620002999999997,0.00592737105023651,0.0206234364130066,1,5,7,6,8,2,14
"ALB","2017-03-23",105.18,106.389999,104.849998,105.150002,690000,105.150002,-0.0299980000000062,-0.000285206312987319,0.0146457534066429,0,6,61,-4,1,5,20
"ALB","2017-03-27",103.620003,104.949997,102.650002,104.599998,841100,104.599998,0.979995000000002,0.00945758513440694,0.021988480343948,1,0,2,5,5,0,18
"ALK","2017-03-20",95.190002,95.25,93.849998,94.82,1487400,94.82,-0.370002000000014,-0.00388698384521532,0.0147648386416368,0,12,13,14,25,11,68
"ALK","2017-03-21",95.400002,95.400002,92.010002,92.110001,1491000,92.110001,-3.290001,-0.0344863829248138,0.0368038211181867,0,7,18,5,8,3,26
"ALK","2017-03-22",91.660004,92.959999,89,92.919998,1676100,92.919998,1.25999400000001,0.0137463882283925,0.042617295364126,1,9,8,0,5,5,30
"ALK","2017-03-23",92.989998,95.239998,92.360001,94.050003,1329400,94.050003,1.060005,0.0113991291837645,0.0306219766946738,1,5,9,-6,5,11,49
"ALK","2017-03-27",93.440002,95.43,93.139999,95,1060600,95,1.55999799999999,0.0166951837179968,0.0241052736842106,1,2,0,3,3,0,9
"ALL","2017-03-20",82.849998,83.059998,82.300003,82.370003,1272500,82.370003,-0.479995000000002,-0.00579354268662749,0.00922659915406327,0,0,0,-2,4,6,26
"ALL","2017-03-21",82.459999,82.699997,81.589996,81.690002,2172300,81.690002,-0.769996999999989,-0.00933782451294948,0.0135879663707194,0,6,19,-2,4,6,25
"ALL","2017-03-22",81.589996,81.82,81.330002,81.379997,1667400,81.379997,-0.209998999999996,-0.00257383270370544,0.00602111106000655,0,7,18,2,4,2,15
"ALL","2017-03-23",81.5,81.919998,81.160004,81.260002,1480700,81.260002,-0.239998,-0.00294476073619632,0.0093526209856604,0,0,0,-1,1,2,18
"ALL","2017-03-27",80.370003,81.32,80.07,81.089996,1428200,81.089996,0.719993000000002,0.00895847919776739,0.0154149717802428,1,2,6,1,2,1,28
"ALLE","2017-03-20",75.480003,75.68,75.010002,75.230003,530400,75.230003,-0.25,-0.00331213553343393,0.00890599459367304,0,0,0,1,1,0,6
"ALLE","2017-03-21",75.519997,75.660004,74.190002,74.269997,709400,74.269997,-1.25,-0.0165519074371785,0.0197926761731254,0,0,0,1,1,0,2
"ALLE","2017-03-22",74.279999,74.860001,74.050003,74.769997,472300,74.769997,0.489998,0.00659663444529664,0.010833195566398,1,0,0,1,1,0,3
"ALLE","2017-03-23",74.68,75.360001,74.290001,74.860001,410300,74.860001,0.18000099999999,0.00241029726834481,0.0142933473912189,1,0,0,2,2,0,5
"ALLE","2017-03-27",74.059998,75.279999,74,74.889999,696300,74.889999,0.83000100000001,0.0112071431597934,0.0170917214193046,1,0,0,0,0,0,3
"ALXN","2017-03-20",122.18,122.290001,119.610001,120.199997,1365300,120.199997,-1.98000300000001,-0.0162056228515306,0.0222961736014021,0,5,6,5,6,1,26
"ALXN","2017-03-21",120.889999,120.980003,116.959999,118.699997,2061900,118.699997,-2.19000200000001,-0.018115659013282,0.0338669258770074,0,8,12,6,6,0,13
